COD,Tipo,Marca,Nome,Descricao,Cor,Numeracao,Preco,Promo,Imagem,https://docs.google.com/spreadsheets/d/1iJWzCXX6PbIHvN8yzLmG-X0m1U0CCxuR-WJQhEODkL8/edit?gid=1979988840#gid=1979988840
11,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;38,"R$ 80,00",,https://i.ibb.co/1GrHbr30/bota.png,
11,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;38,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
12,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;39,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
13,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;40,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
14,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;41,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
15,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;42,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
16,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;43,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
17,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;44,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
18,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;45,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
19,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;46,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
20,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;47,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
21,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;48,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
22,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;49,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
23,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;50,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
24,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;51,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
25,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;52,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
26,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;53,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
27,Sapato,Azaléia,Orange d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Amarelo,34;35;36;54,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
28,Tênis,Azaléia,Tenis Fila ,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Rosa,32;33;34;35;36;39,"R$ 120,00",,https://i.ibb.co/cXxZyCZs/Tenis-Rosa-Fila.png,
29,Bota,Azaléia,Black night,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Preto,32;33,"R$ 120,00",,https://i.ibb.co/WvwSCgFn/bota.png,
30,Tênis,Azaléia,Tenis Green,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Verde,36;41,"R$ 120,00",,https://i.ibb.co/PG5L7bzJ/Tenis01.png,
31,Sapato,Azaléia,Orange c,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Laranja,32;33;34;35;36;42,"R$ 120,00",,https://i.ibb.co/nqvTycSx/Sanalia02.png,
32,Sapato,Azaléia,Orange a,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Laranja,32;33;34;35;36;43,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
33,Sapato,Azaléia,Orange b,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Laranja,,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
34,Sandália,Azaléia,Sandália Purple,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Roxo,32;33;34;35;36;37;38;39,"R$ 120,00",,https://i.ibb.co/s9vkdQRn/Sandalia01.png,
35,Sandália,Azaléia,Sandália Blue,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Azul,32;33;34;35;36;37,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
36,Bota,Azaléia,Pink,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Azul,32;33;34;35;36;38,"R$ 120,00","R$ 90,00",https://i.ibb.co/1GrHbr30/bota.png,
37,Tênis,Azaléia,Tenis Fila ,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Rosa,32;33;34;35;36;39,"R$ 120,00","R$ 90,00",https://i.ibb.co/cXxZyCZs/Tenis-Rosa-Fila.png,
38,Bota,Azaléia,Black night,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Preto,32;33,"R$ 120,00","R$ 90,00",https://i.ibb.co/WvwSCgFn/bota.png,
39,Tênis,Azaléia,Tenis Green,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Verde,36;41,"R$ 120,00","R$ 90,00",https://i.ibb.co/PG5L7bzJ/Tenis01.png,
40,Sapato,Azaléia,Orange c,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Laranja,32;33;34;35;36;42,"R$ 120,00",,https://i.ibb.co/nqvTycSx/Sanalia02.png,
41,Sapato,Azaléia,Orange a,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Laranja,32;33;34;35;36;43,"R$ 120,00",,https://i.ibb.co/1GrHbr30/bota.png,
42,Tênis,Azaléia,Tenis Green d,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Verde,28;29;30,"R$ 120,00","R$ 90,00",https://i.ibb.co/PG5L7bzJ/Tenis01.png;https://i.ibb.co/cXxZyCZs/Tenis-Rosa-Fila.png,
43,Tênis,Azaléia,Tenis Green f,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Verde,36;37;38;39,"R$ 120,00","R$ 80,00",https://i.ibb.co/PG5L7bzJ/Tenis01.png,
44,Tênis,Azaléia,Tenis Green a,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Verde,36;41,"R$ 120,00",,https://i.ibb.co/PG5L7bzJ/Tenis01.png,
45,Tênis,Azaléia,Tenis Green g,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Verde,36;41,"R$ 120,00",,https://i.ibb.co/PG5L7bzJ/Tenis01.png;https://i.ibb.co/PG5L7bzJ/Tenis01.png;https://i.ibb.co/PG5L7bzJ/Tenis01.png,
46,Tênis,Azaléia,Tenis Green c,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Verde,36;41,"R$ 120,00",,https://i.ibb.co/PG5L7bzJ/Tenis01.png,
47,Tênis,Azaléia,Tenis Green b,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Verde,36;41,"R$ 120,00",,https://i.ibb.co/PG5L7bzJ/Tenis01.png,
48,Tênis,Azaléia,Tenis Green i,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Verde,36,"R$ 120,00",,,
49,Tênis,Azaléia,Tenis Green h,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Verde,41,"R$ 120,00",,,
50,Tênis,Azaléia,Tenis Green j,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Verde,36;41,"R$ 120,00",,https://i.ibb.co/PG5L7bzJ/Tenis01.png,
